,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
32,57,Responsive,Article,19400,3,1,1.041669974,0.456778559,0.349999994,0.335998927,0.376389074,0.137509256,19400
282,55,Responsive,Article,19862,3,3,0.577946868,0.05447288,0.349999994,0.605591991,0.547195534,0.038784578,16140
142,45,Responsive,Article,24411,3,2,0.591434307,0.052275063,0.349999994,0.591781691,0.536795623,0.037383685,20981
222,65,Responsive,Article,28140,3,2,0.556699205,0.038860904,0.349999994,0.628705755,0.562720649,0.029149916,16770
292,63,Responsive,Article,29740,3,3,0.549404113,0.070549407,0.349999994,0.63705383,0.571787181,0.049314574,3859
182,43,Responsive,Article,85412,3,9,0.656988929,0.102718884,0.349999994,0.532733473,0.497099957,0.062748596,11340
372,84,Static,Article,2708,3,1,0.656218393,0.034906022,0.349999994,0.533359013,0.490889261,0.022934621,2708
42,32,Static,Article,2900,3,1,0.600694627,0.027344929,0.349999994,0.582658773,0.528225006,0.019956798,2900
152,80,Static,Article,2990,3,2,0.608537559,0.03150408,0.349999994,0.575149371,0.522812097,0.023114316,1789
312,46,Static,Article,3000,3,1,0.533961343,0.003493323,0.349999994,0.655478152,0.580229973,0.003007697,3000
172,44,Static,Article,3050,3,1,0.652300397,0.101295021,0.349999994,0.536562596,0.499634474,0.061286544,3050
122,34,Static,Article,4490,3,1,0.685719414,0.099380385,0.349999994,0.510412841,0.478809115,0.06163907,4490
302,64,Static,Article,5010,3,1,0.543302175,0.059827992,0.349999994,0.644208711,0.575872555,0.046553561,5010
162,86,Static,Article,6160,3,1,0.63900855,0.007143939,0.349999994,0.547723492,0.501133641,0.004716287,6160
112,60,Static,Article,6970,3,2,0.604133939,0.01038343,0.349999994,0.579341718,0.525185604,0.00745329,1401
232,54,Static,Article,7081,3,1,0.675087647,0.035470272,0.349999994,0.51845119,0.479216476,0.022598007,7081
400,82,Static,Article,7411,3,1,0.577700881,0.020739534,0.349999994,0.605849853,0.545114836,0.015604676,7411
202,36,Static,Article,9872,3,1,0.590460261,0.004096268,0.349999994,0.592757916,0.53509283,0.003030936,9872
420,40,Static,Article,10103,3,1,0.520176811,0.153171908,0.349999994,0.672848129,0.615790578,0.116547778,10103
92,58,Static,Article,11060,3,1,0.528776492,0.063983295,0.349999994,0.66190536,0.588710005,0.047274098,11060
362,70,Static,Article,12180,3,1,0.595980682,0.018320363,0.349999994,0.587267347,0.531308677,0.013420026,12180
22,68,Static,Article,15194,3,4,0.596700483,0.019614356,0.349999994,0.586558925,0.530827191,0.014393578,4354
192,38,Static,Article,15531,3,1,0.556983709,0.018801062,0.349999994,0.628384615,0.561388996,0.014919747,15531
252,30,Static,Article,17170,3,1,0.622351379,0.055196014,0.349999994,0.562383254,0.514907388,0.03931253,17170
322,79,Static,Article,17200,3,1,0.55349702,0.034594163,0.349999994,0.632343051,0.565036518,0.026302862,17200
440,78,Static,Article,27099,3,4,0.593718334,0.028530921,0.349999994,0.589505114,0.533412048,0.020987997,6279
352,48,Static,Article,31811,3,9,0.488910416,0.114052418,0.349999994,0.715877556,0.634177874,0.08292762,6940
63,69,Responsive,Article,2440,4,1,0.823007474,0.004876459,0.550000012,0.668280701,0.589129978,0.002753619,2440
243,53,Responsive,Article,2450,4,1,0.618906288,0.06311128,0.550000012,0.888664443,0.729378705,0.05309887,2450
343,83,Responsive,Article,2580,4,1,0.738048187,0.105205714,0.550000012,0.745208811,0.646764673,0.073137563,2580
3,61,Responsive,Article,2963,4,1,0.61333312,0.024590271,0.543548398,0.886220524,0.724429049,0.036628162,2963
213,31,Responsive,Article,3360,4,1,0.648865882,0.034233504,0.550000012,0.847632812,0.703903623,0.026484881,3360
83,51,Responsive,Article,3975,4,1,0.714831929,0.094269313,0.550000012,0.769411647,0.661293083,0.069284932,3975
411,49,Responsive,Article,4841,4,1,0.66060294,0.031208407,0.550000012,0.832572759,0.694943982,0.024221636,4841
133,33,Responsive,Article,4940,4,1,0.677004597,0.135563089,0.546000012,0.806493803,0.689270043,0.090848213,4940
183,43,Responsive,Article,5321,4,1,0.549766234,0.031403169,0.550000012,1.000425232,0.786416034,0.02885289,5321
263,37,Responsive,Article,5981,4,2,0.630585681,0.015289098,0.546721323,0.86700561,0.713862143,0.02426208,3820
273,39,Responsive,Article,6211,4,1,0.66883736,0.053699191,0.550000012,0.822322503,0.689959838,0.036741906,6211
333,41,Responsive,Article,6476,4,1,0.600805936,0.092333941,0.546969709,0.910393317,0.744043544,0.076342542,6476
103,67,Responsive,Article,8310,4,1,0.628834209,0.095005283,0.550000012,0.87463437,0.724542066,0.069081411,8310
53,35,Responsive,Article,8969,4,1,0.590603711,0.009491628,0.54777779,0.927487889,0.747543099,0.026642389,8969
391,71,Responsive,Article,10355,4,1,0.588184312,0.04487261,0.550000012,0.935081064,0.753365977,0.03705947,10355
13,59,Responsive,Article,10380,4,2,0.740386332,0.091089105,0.550000012,0.742855437,0.643222591,0.054315408,8080
431,47,Responsive,Article,13520,4,1,0.673231822,0.148778028,0.550000012,0.816954864,0.698387607,0.10279281,13520
223,65,Responsive,Article,14120,4,1,0.654197148,0.030138163,0.550000012,0.840725176,0.699666004,0.021426658,14120
293,63,Responsive,Article,14980,4,2,0.75400892,0.062107814,0.548666678,0.727666032,0.631090418,0.042757641,7840
33,57,Responsive,Article,16330,4,1,0.803736345,0.304450504,0.550000012,0.68430402,0.63290681,0.125823121,16330
