,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
367,70,Static,Weather,27606,2,17,0.6299972956598171,0.045228702261845624,0.4300000071525574,0.68254262377778,0.6003642390342661,0.029232217527934295,6675
117,60,Static,Weather,28260,2,11,0.5328431029117561,0.10996118443113416,0.4300000071525574,0.806991785767319,0.6897919920184244,0.0842083817545673,15760
167,86,Static,Weather,30271,2,11,0.6711053592427751,0.019759960310235254,0.4300000071525574,0.6407339789950971,0.5701088846693964,0.013207415053117155,14551
177,44,Static,Weather,34135,2,20,0.5891240184053578,0.10309181178958371,0.4300000071525574,0.7298972605402889,0.6374136668660833,0.058798811914181015,8914
307,64,Static,Weather,34161,2,21,0.5264551010277647,0.044973655125043824,0.4300000071525574,0.8167838174862315,0.6869663956650418,0.040361672770551776,8660
27,68,Static,Weather,38637,2,17,0.6247745200142513,0.0354797701989414,0.4300000071525574,0.688248309394482,0.6038092485865024,0.026398867121252077,8375
47,32,Static,Weather,39901,2,21,0.5207715459239106,0.08373429910552797,0.4300000071525574,0.8256979677906293,0.6957272967877097,0.055221226284879354,6572
377,84,Static,Weather,41431,2,26,0.6106796290457545,0.12447317505748845,0.4300000071525574,0.7041335369651575,0.6231647029836543,0.06867962774750803,6890
257,30,Static,Weather,41520,2,21,0.5658012844229873,0.14886846044588062,0.4300000071525574,0.7599841481291049,0.6625645096903806,0.07214430417755621,9390
327,79,Static,Weather,42891,2,21,0.5515413553541328,0.09449702022919915,0.4300000071525574,0.7796333003469225,0.6695578248801723,0.06784149452028854,10568
127,34,Static,Weather,50511,2,23,0.5343656185765163,0.19045662200565047,0.4300000071525574,0.8046925030431861,0.7026942089219576,0.11010244365903475,9540
157,80,Static,Weather,56391,2,33,0.5992111338401108,0.1356025771166693,0.4300000071525574,0.7176101758938536,0.6371215613517838,0.10418194953314364,17701
237,54,Static,Weather,73541,2,25,0.5549737817191929,0.09716787847364221,0.4300000071525574,0.7748113898651341,0.6671464396667659,0.07145889142264943,15740
405,82,Static,Weather,88032,2,53,0.5275627720062542,0.1101789493805097,0.4300000071525574,0.8150688979006648,0.691949606856438,0.06170006745958219,7310
317,46,Static,Weather,140092,2,37,0.6855196306879944,0.17422336699434515,0.4300000071525574,0.627261405659536,0.5773629930256109,0.0935354498425921,5195
425,40,Static,Weather,329769,2,51,0.6142788418528035,0.13222862061294077,0.4300000071525574,0.7000078431084822,0.6242681610399985,0.0959142764306117,21236
218,31,Responsive,Weather,9130,3,3,0.6500871109675213,0.015446160179716785,0.7699999809265137,1.184456618099268,0.8697532706060082,0.01172065251431738,7831
