,userID,Mode,Application,Time,Guesses,Avg Dist,Avg Ratio,Time_To_First_Guess,Std Dist,Avg Visual Angle,Std Visual Angle
96,58,Static,Numpad,51749,23,0.5799783222385545,0.8716180738273055,,0.19632713361049772,0.7124773001965465,0.1553648921474324
366,70,Static,Numpad,57045,28,0.6144554548911643,0.8109685079552739,,0.07125431593489558,0.6568782546321111,0.04647211393061815
46,32,Static,Numpad,58136,26,0.5951058159979237,0.8347199410576884,,0.1539502745819236,0.687690286943975,0.10065131893090583
196,38,Static,Numpad,61366,20,0.6762994564209209,0.7216915126254598,,0.10931357660096114,0.6162003964162267,0.06433587037979883
256,30,Static,Numpad,67791,26,0.631227896064965,0.7665452103468425,,0.23491091334217373,0.6741180122910956,0.12686624425147552
444,78,Static,Numpad,75793,21,0.5875144070986612,0.8356048014824188,,0.09302681419213325,0.6805637174945414,0.0673818440056322
376,84,Static,Numpad,78492,37,0.71106352972935,0.6794599874742767,,0.1647883496113766,0.6060031958275923,0.09251268172412545
326,79,Static,Numpad,84873,36,0.5613195225611295,0.9058479852056943,,0.12107492110394029,0.70654957273781,0.07989262625120751
166,86,Static,Numpad,89112,16,0.6254896019045759,0.8016584988296636,,0.04300496820581592,0.6490107937069698,0.032388050260118435
236,54,Static,Numpad,110861,34,0.6417043033232507,0.7637444312629066,,0.10381574736236825,0.64505232330488,0.07379915460762902
404,82,Static,Numpad,113693,58,0.6462302392876046,0.7560623889874732,,0.22886439355752977,0.6669974726478852,0.1275771157635234
306,64,Static,Numpad,117118,34,0.6124570867780204,0.7895536364052602,,0.05350542315311807,0.6682053617854157,0.04911595180682798
26,68,Static,Numpad,120418,34,0.6016172475856312,0.8126750742335834,,0.06635150183503381,0.6696983308535608,0.05412356629746081
356,48,Static,Numpad,141572,37,0.5799827007923669,0.8731607747372211,,0.26554925692877795,0.7196874617087431,0.14807904497637553
176,44,Static,Numpad,150406,58,0.521557213256432,0.9680122406537276,,0.11851251031511982,0.7423815595728951,0.09659979210779346
316,46,Static,Numpad,169071,42,0.6405229740176973,0.7844965857738909,,0.16425241930568876,0.6519371040992983,0.1059663908705597
156,80,Static,Numpad,217772,59,0.6167830053644127,0.7946823253187582,,0.14713882517048704,0.6676234504052303,0.10898280348870876
126,34,Static,Numpad,226135,77,0.6009695968544578,0.807435190549819,,0.2489473577564952,0.6985930731694706,0.1307843123092298
116,60,Static,Numpad,277173,69,0.5922086952558119,0.8231927434192864,,0.09706351377139151,0.6790447615503483,0.06928740806345468
424,40,Static,Numpad,373051,56,0.6662135282829199,0.736969452570117,,0.18179025123664505,0.6365715097564982,0.11125055698181811
