,hPos,aPos,unixTime,Distance
330,"{'x': 0.010354009456932545, 'y': -0.01585346646606922, 'z': 0.04570317268371582}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088283715,0.5587562919119395
331,"{'x': 0.008669232949614525, 'y': -0.018024932593107224, 'z': 0.04565339535474777}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088283815,0.5588009543271681
332,"{'x': 0.005912665277719498, 'y': -0.018985750153660774, 'z': 0.04517090320587158}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088283915,0.5592217103435041
333,"{'x': 0.0042029316537082195, 'y': -0.019279783591628075, 'z': 0.04414606839418411}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284015,0.5602062766430833
334,"{'x': 0.0036962428130209446, 'y': -0.019733283668756485, 'z': 0.04308883100748062}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284115,0.5612631394510866
335,"{'x': 0.003437744453549385, 'y': -0.019880153238773346, 'z': 0.04214166849851608}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284215,0.5622074955687415
336,"{'x': 0.003140377113595605, 'y': -0.0187364611774683, 'z': 0.04228212684392929}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284315,0.5620256821417867
337,"{'x': 0.002522875787690282, 'y': -0.018459217622876167, 'z': 0.043268926441669464}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284415,0.5610167823439604
338,"{'x': 0.0019087386317551136, 'y': -0.018764883279800415, 'z': 0.04433046281337738}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284526,0.5599505686356496
339,"{'x': 0.0014854548498988152, 'y': -0.019143981859087944, 'z': 0.04527072608470917}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284615,0.559012669856998
340,"{'x': 0.0017319105099886656, 'y': -0.018824737519025803, 'z': 0.045858368277549744}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284716,0.5584214694756655
341,"{'x': 0.002210109494626522, 'y': -0.01889902353286743, 'z': 0.0462726429104805}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284815,0.558020495809323
342,"{'x': 0.0023886454291641712, 'y': -0.01912403479218483, 'z': 0.046758659183979034}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088284916,0.5575456157065892
343,"{'x': 0.002952373120933771, 'y': -0.019156357273459435, 'z': 0.047513797879219055}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285015,0.5568055113722624
344,"{'x': 0.003199756145477295, 'y': -0.018968338146805763, 'z': 0.04798705875873566}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285116,0.5563331509479473
345,"{'x': 0.003242956008762121, 'y': -0.01922871544957161, 'z': 0.047870978713035583}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285215,0.5564579604985715
346,"{'x': 0.003511782269924879, 'y': -0.019492443650960922, 'z': 0.04732456058263779}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285316,0.5570187051733809
347,"{'x': 0.0038592172786593437, 'y': -0.0202367901802063, 'z': 0.04620417207479477}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285415,0.5581702330889474
348,"{'x': 0.0038946224376559258, 'y': -0.02017408236861229, 'z': 0.04468918591737747}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285515,0.5596828934316469
