,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
211,31,Responsive,Article,2240,2,1,0.6440173931743788,0.01390796433190046,0.25,0.3881882735615934,0.3704145305126436,0.007355140331574953,2240
1,61,Responsive,Article,2280,2,1,0.6206074434777965,0.008431530180595283,0.25,0.40283113363744927,0.38299747816719887,0.00472862262086901,2280
381,85,Responsive,Article,2690,2,1,0.6213100287649367,0.008625357997675286,0.25,0.40237560706521885,0.3826084024429923,0.0048495409986052075,2690
221,65,Responsive,Article,2720,2,1,0.6195103459888034,0.011782410838947181,0.25,0.40354451159483673,0.38366388914209215,0.006714031546296269,2720
271,39,Responsive,Article,2900,2,1,0.5732453564802805,0.01050163519864483,0.25,0.4361134323616626,0.41134610169048924,0.00672759097146001,2900
241,53,Responsive,Article,2911,2,1,0.5873108625411987,0.008286469244901735,0.25,0.4256689530963051,0.4024966835098295,0.005164285282836757,2911
341,83,Responsive,Article,2970,2,1,0.6881776690483093,0.0864633013475272,0.25,0.3632782800780626,0.35311252356960676,0.04366699731918385,2970
51,35,Responsive,Article,3350,2,1,0.6230767386801103,0.005405544800217636,0.25,0.40123468664483536,0.38159190617705857,0.0029767680837171685,3350
429,47,Responsive,Article,3454,2,1,0.7042538225650787,0.19031468534776555,0.25,0.3549856486251418,0.36271467237697186,0.09442020052292172,3454
291,63,Responsive,Article,3499,2,1,0.6159707936975691,0.053915649764475465,0.25,0.40586339897593526,0.38786014094480487,0.03172199395126354,3499
81,51,Responsive,Article,3519,2,1,0.6327266863414219,0.0702164095223168,0.25,0.3951153087055016,0.3798431029984699,0.03818120050146129,3519
409,49,Responsive,Article,3560,2,2,0.5922977907790078,0.023235103756576572,0.25,0.42208497801619776,0.39985369489647177,0.014048925554635614,2631
141,45,Responsive,Article,3629,2,1,0.5805106662415169,0.015682611682152355,0.25,0.43065530840046523,0.4068706267995374,0.009915091196538113,3629
61,69,Responsive,Article,6271,2,1,0.5421646304668919,0.07959702092957079,0.25,0.46111455073103785,0.438122716437733,0.05071979693028554,6271
331,41,Responsive,Article,6300,2,1,0.608266326170119,0.008821445491561034,0.25,0.4110041757104936,0.39001887265875557,0.005101224100364476,6300
11,59,Responsive,Article,6411,2,1,0.6956654582172632,0.04688605634010831,0.25,0.35936813743873214,0.34627009428535555,0.021713639855209865,6411
101,67,Responsive,Article,7350,2,1,0.521024735795485,0.07898283056453341,0.25,0.47982366829150147,0.4535104789890012,0.050267798925598864,7350
