,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
409,49,Responsive,Article,3560,2,2,0.5922977907790078,0.02323510375657657,0.25,0.42208497801619776,0.3998536948964719,0.014048925554635614,2631
141,45,Responsive,Article,3629,2,1,0.5805106662415169,0.015682611682152355,0.25,0.43065530840046523,0.4068706267995374,0.009915091196538113,3629
61,69,Responsive,Article,6271,2,1,0.5421646304668919,0.07959702092957077,0.25,0.46111455073103785,0.43812271643773293,0.05071979693028555,6271
331,41,Responsive,Article,6300,2,1,0.608266326170119,0.008821445491561036,0.25,0.4110041757104936,0.39001887265875557,0.005101224100364476,6300
11,59,Responsive,Article,6411,2,1,0.6956654582172632,0.04688605634010833,0.25,0.35936813743873214,0.3462700942853555,0.021713639855209865,6411
101,67,Responsive,Article,7350,2,1,0.521024735795485,0.0789828305645334,0.25,0.47982366829150147,0.45351047898900115,0.050267798925598864,7350
181,43,Responsive,Article,9310,2,1,0.623453917021447,0.00546432588086869,0.25,0.40099194691786644,0.3813837324731031,0.003014594534718447,9310
281,55,Responsive,Article,10150,2,1,0.7616969572038067,0.13517139016460092,0.25,0.3282145184323057,0.32700262889938453,0.06285420049139433,10150
389,71,Responsive,Article,12360,2,1,0.5726020292889688,0.03198428279514604,0.25,0.43660341251399104,0.4125867489619186,0.019966362409918406,12360
31,57,Responsive,Article,17340,2,3,0.48285710984884306,0.06365087297820902,0.25,0.5177515146836333,0.48300902652304545,0.0512005072198227,9090
41,32,Static,Article,4460,2,2,0.5871317241194106,0.01543854595022913,0.25,0.4257988279801333,0.4027528580818062,0.009451428218831189,2350
151,80,Static,Article,4981,2,1,0.6242602747288097,0.013134922515214175,0.25,0.40047398516364774,0.38104592584563535,0.007380006871517903,4981
351,48,Static,Article,5261,2,1,0.5073310827000926,0.09964826729882434,0.25,0.49277485359158807,0.46898181597338545,0.07169470692746911,5261
301,64,Static,Article,5380,2,1,0.5845730810982896,0.023625799546217532,0.25,0.4276625251547722,0.4045955354659095,0.014038716954635592,5380
399,82,Static,Article,6050,2,1,0.5737360014453013,0.024305727571706594,0.25,0.4357404788443181,0.4114795029089727,0.015626983737789386,6050
111,60,Static,Article,6620,2,1,0.5898688410613477,0.007977812569802015,0.25,0.4238230308116909,0.40092821629056574,0.004861288899048923,6620
201,36,Static,Article,7140,2,1,0.5480806654478819,0.006076527234742694,0.25,0.4561372362874804,0.4279838737406442,0.004195044512340458,7140
371,84,Static,Article,7670,2,3,0.5306010558550519,0.0313711275844664,0.25,0.47116378160448724,0.4413944637375914,0.022637248891891563,2670
21,68,Static,Article,8130,2,3,0.6107440364067993,0.014874921984312468,0.25,0.40933678447493194,0.3887041590700333,0.008482901981199664,2680
439,78,Static,Article,8500,2,1,0.5557550057940486,0.022565008403722116,0.25,0.44983850328582536,0.4232200636343516,0.014987328938712912,8500
171,44,Static,Article,8550,2,1,0.5880347732770088,0.07136822213259149,0.25,0.4251449257104241,0.4058405495012023,0.03766990353893889,8550
191,38,Static,Article,8659,2,1,0.5862743067450948,0.02845274465883757,0.25,0.42642155237530655,0.4037735348883323,0.017223062539558923,8659
361,70,Static,Article,10060,2,1,0.6087531483492274,0.016625970217229093,0.25,0.41067549412751597,0.38989463130076907,0.009472024491410125,10060
231,54,Static,Article,11410,2,1,0.6215942625213159,0.027536320761034346,0.25,0.40219161448811946,0.3829740811367973,0.01535184375788723,11410
91,58,Static,Article,11551,2,1,0.6178753095557705,0.021330824353021364,0.25,0.4046123807402836,0.3848207367737218,0.011705259326833263,11551
251,30,Static,Article,12720,2,1,0.6068818294789257,0.01112402117632706,0.25,0.4119418111671795,0.3908602956496675,0.006559813984628009,12720
161,86,Static,Article,13040,2,1,0.6987093205402279,0.10865785185799379,0.2539424479007721,0.36344505566982976,0.35261918259046443,0.05085604916246255,13040
321,79,Static,Article,15300,2,1,0.5325524328478238,0.017986829291303102,0.25,0.46943734471951454,0.43924482569469314,0.012519866679534182,15300
121,34,Static,Article,19240,2,3,0.5455995854291534,0.03755591985802118,0.25,0.45821149186423404,0.43103268042553866,0.02416895755432429,4250
